N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,강원랜드,"23,350",350,+1.52%,500,"49,955","213,940",22.50,"438,426",121.61,-0.33,
60,HD현대,"62,300",900,+1.47%,"1,000","49,213","78,993",17.56,"116,661",5.54,-1.99,
61,한국항공우주,"49,650",800,+1.64%,"5,000","48,396","97,475",25.09,"994,915",57.07,5.19,
62,LG디스플레이,"13,400",500,+3.88%,"5,000","47,947","357,816",19.51,"2,064,455",22.79,9.68,
63,삼성중공업,"5,330",10,+0.19%,"1,000","46,904","880,000",15.73,"2,399,970",-7.04,-36.89,
64,SK바이오팜,"59,500",100,+0.17%,500,"46,596","78,313",6.40,"65,231",-59.92,15.75,
65,맥쿼리인프라,"11,000",50,+0.46%,0,"44,533","404,846",13.33,"724,659",N/A,N/A,
66,GS,"46,850",750,+1.63%,"5,000","43,531","92,915",25.14,"124,430",2.01,15.55,
67,현대건설,"38,200",250,-0.65%,"5,000","42,538","111,356",24.07,"661,824",7.53,5.89,
68,한온시스템,"7,910",80,+1.02%,100,"42,224","533,800",16.58,"424,615",22.60,13.83,
69,유한양행,"57,400","1,800",-3.04%,"1,000","42,035","73,231",20.29,"299,023",43.65,5.45,
70,SK아이이테크놀로지,"58,400","2,700",+4.85%,"1,000","41,638","71,298",8.03,"1,346,708",322.65,5.57,
71,한국타이어앤테크놀로지,"33,500","1,150",+3.55%,500,"41,498","123,875",35.66,"526,039",6.08,7.69,
72,SKC,"107,000",0,0.00%,"5,000","40,519","37,868",16.22,"182,860",13.81,11.60,
73,DB손해보험,"57,200",900,+1.60%,500,"40,498","70,800",42.86,"147,027",4.22,13.38,
74,코웨이,"54,400",500,+0.93%,500,"40,147","73,800",61.62,"155,827",8.17,27.41,
75,넷마블,"46,400","1,400",+3.11%,100,"39,882","85,954",23.30,"234,502",-171.22,4.29,
76,금호석유,"136,000","1,500",+1.12%,"5,000","39,867","29,314",21.25,"54,120",2.90,47.76,
77,오리온,"100,500","1,500",+1.52%,500,"39,734","39,536",35.98,"86,896",13.60,12.75,
78,미래에셋증권,"6,420",190,+3.05%,"5,000","39,503","615,316",12.70,"595,021",5.21,11.66,
79,현대제철,"28,750",400,-1.37%,"5,000","38,366","133,446",21.36,"434,592",1.98,8.54,
80,한화에어로스페이스,"75,000","3,100",+4.31%,"5,000","37,972","50,630",22.57,"1,329,667",24.58,9.21,
81,현대미포조선,"94,400","2,500",+2.72%,"5,000","37,705","39,942",19.77,"345,571",-89.48,-7.11,
82,롯데지주,"35,650","1,150",+3.33%,200,"37,400","104,909",9.98,"168,088",11.21,4.61,
83,메리츠화재,"32,350",450,+1.41%,500,"36,809","113,783",11.20,"102,778",4.81,26.12,
84,삼성카드,"30,950",350,+1.14%,"5,000","35,858","115,859",6.52,"77,602",6.13,7.53,
85,두산밥캣,"35,250",150,+0.43%,500,"35,338","100,249",26.40,"216,810",8.44,9.19,
86,TIGER 차이나전기차SOLACTIVE,"14,440",860,+6.33%,0,"33,720","233,520",1.09,"6,619,624",N/A,N/A,
87,한국가스공사,"35,550",500,+1.43%,"5,000","32,817","92,313",10.74,"166,160",2.39,11.63,
88,BGF리테일,"188,000","4,500",+2.45%,"1,000","32,494","17,284",32.43,"50,940",19.30,19.61,
89,에스디바이오센서,"31,450","1,100",+3.62%,500,"32,479","103,271",14.66,"349,864",2.79,72.47,
90,현대오토에버,"114,000",0,0.00%,500,"31,263","27,424",2.13,"29,905",40.37,7.26,
91,메리츠금융지주,"24,500","2,150",+9.62%,500,"31,255","127,572",6.52,"402,357",3.29,22.33,
92,한미약품,"251,000",500,+0.20%,"2,500","30,918","12,318",15.43,"15,630",39.23,8.75,
93,KODEX KOFR금리액티브(합성),"101,190",20,+0.02%,0,"30,845","30,482",2.03,"290,717",N/A,N/A,
94,현대해상,"33,950",850,+2.57%,500,"30,351","89,400",34.61,"300,119",5.55,8.82,
95,NH투자증권,"9,010",110,+1.24%,"5,000","29,883","331,666",12.83,"262,652",4.64,14.77,
96,쌍용C&E,"5,770",10,-0.17%,100,"29,073","503,860",2.97,"479,649",24.55,11.12,
97,GS리테일,"27,500","1,150",+4.36%,"1,000","28,797","104,718",7.26,"324,406",3.56,25.58,
98,일진머티리얼즈,"62,400",900,-1.42%,500,"28,773","46,111",9.90,"237,889",48.86,7.85,
99,현대차2우B,"78,700",300,+0.38%,"5,000","28,714","36,485",60.25,"28,881",3.49,N/A,
100,한국금융지주,"51,200","1,500",+3.02%,"5,000","28,532","55,726",35.37,"215,467",2.15,27.12,
